CHR_ID,ELEVATION,READ_DATE,DATUM_ADJ
01003300,1224.29,1942/11/21,NGVD 29
01003300,1224.29,1942/11/22,NGVD 29
01003300,1224.29,1942/11/23,NGVD 29
01003300,1224.29,1942/11/24,NGVD 29
01003300,1224.29,1942/11/25,NGVD 29
01003300,1224.29,1942/11/26,NGVD 29
01003300,1224.29,1942/11/27,NGVD 29
01003300,1224.29,1942/12/27,NGVD 29
01003300,1224.79,1943/6/6,NGVD 29
01003300,1224.89,1943/6/9,NGVD 29
01003300,1224.79,1943/6/11,NGVD 29
01003300,1224.79,1943/6/14,NGVD 29
01003300,1224.79,1943/6/17,NGVD 29
01003300,1224.69,1943/6/19,NGVD 29
01003300,1224.69,1943/6/21,NGVD 29
01003300,1224.64,1943/6/23,NGVD 29
01003300,1224.79,1943/6/26,NGVD 29
01003300,1224.90,1943/6/29,NGVD 29
01003300,1224.69,1943/7/5,NGVD 29
01003300,1224.59,1943/7/8,NGVD 29
01003300,1224.51,1943/7/10,NGVD 29
01003300,1224.47,1943/7/12,NGVD 29
01003300,1224.39,1943/7/15,NGVD 29
01003300,1224.37,1943/7/17,NGVD 29
01003300,1224.34,1943/7/19,NGVD 29
01003300,1224.32,1943/7/21,NGVD 29
01003300,1224.29,1943/7/24,NGVD 29
01003300,1224.29,1943/7/27,NGVD 29
01003300,1224.29,1943/7/29,NGVD 29
01003300,1224.29,1943/7/31,NGVD 29
01003300,1224.43,1943/8/2,NGVD 29
01003300,1224.39,1943/8/5,NGVD 29
01003300,1224.34,1943/8/7,NGVD 29
01003300,1224.44,1943/8/9,NGVD 29
01003300,1224.42,1943/8/12,NGVD 29
01003300,1224.39,1943/8/14,NGVD 29
01003300,1224.38,1943/8/17,NGVD 29
01003300,1224.34,1943/8/19,NGVD 29
01003300,1224.34,1943/8/21,NGVD 29
01003300,1224.29,1943/8/23,NGVD 29
01003300,1224.29,1943/8/25,NGVD 29
01003300,1224.29,1943/8/28,NGVD 29
01003300,1224.29,1943/9/6,NGVD 29
01003300,1224.29,1943/9/9,NGVD 29
01003300,1224.29,1943/9/11,NGVD 29
01003300,1224.29,1943/9/13,NGVD 29
01003300,1224.29,1943/9/16,NGVD 29
01003300,1224.29,1943/9/18,NGVD 29
01003300,1224.28,1943/9/25,NGVD 29
01003300,1224.29,1943/9/27,NGVD 29
01003300,1224.29,1943/9/29,NGVD 29
01003300,1224.13,1943/10/6,NGVD 29
01003300,1224.26,1943/10/12,NGVD 29
01003300,1224.25,1943/10/14,NGVD 29
01003300,1224.23,1943/10/16,NGVD 29
01003300,1224.63,1944/6/19,NGVD 29
01003300,1224.61,1944/6/22,NGVD 29
01003300,1224.60,1944/6/24,NGVD 29
01003300,1224.55,1944/6/29,NGVD 29
01003300,1224.51,1944/7/1,NGVD 29
01003300,1224.43,1944/7/3,NGVD 29
01003300,1224.39,1944/7/6,NGVD 29
01003300,1224.41,1944/7/8,NGVD 29
01003300,1224.45,1944/7/10,NGVD 29
01003300,1224.43,1944/7/13,NGVD 29
01003300,1224.34,1944/7/15,NGVD 29
01003300,1224.31,1944/7/17,NGVD 29
01003300,1224.31,1944/7/19,NGVD 29
01003300,1224.29,1944/7/22,NGVD 29
